,,,,,,,,
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.6,0,0.46,2.56,0.2116,6.5536,0.0447746,4.26525
1,-3.28,0.16,0.82,10.9184,0.6868,126.097,0.510424,2.06859
2,-4,0,1,16,1,256,1,1.20446E-31
3,-4,0,1,16,1,256,1,1.20446E-31
4,-4,0,1,16,1,256,1,1.20446E-31
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.52,0,-0.12,2.3104,0.0144,5.33795,0.00020736,4.32053
1,-2.36,0.0144,-0.31,5.584,0.113,31.5019,0.0192654,4.21718
2,-3.82,0.0972,-0.955,14.6896,0.9181,220.936,0.86303,0.461246
3,-4,0,-1,16,1,256,1,1.20446E-31
4,-4,0,-1,16,1,256,1,1.20446E-31
5,-4,0,-1,16,1,256,1,1.20446E-31
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-2.08,0,-0.74,4.3264,0.5476,18.7177,0.299866,0.0691796
1,-3.84,0,-0.98,14.7456,0.9604,217.433,0.922368,0.04
2,-4,0,-1,16,1,256,1,1.20446E-31
3,-4,0,-1,16,1,256,1,1.20446E-31
4,-3.99,0.0015,-0.99875,15.9216,0.997525,253.59,0.995148,0.0025
5,-4,0,-1,16,1,256,1,1.20446E-31
6,-3.9925,0.00114375,-0.999062,15.9412,0.998144,254.192,0.996361,0.001875
7,-3.9975,0.00039375,-0.999687,15.9804,0.999381,255.397,0.998787,0.000625
8,-3.99625,0.000585938,-0.999531,15.9706,0.999072,255.096,0.998181,0.0009375
9,-3.99437,0.000968359,-0.999297,15.956,0.998609,254.653,0.99728,0.00153266
10,-3.99578,0.000657202,-0.999473,15.9669,0.998956,254.983,0.997953,0.00105469
11,-3.99293,0.00120939,-0.999102,15.9447,0.998224,254.307,0.996528,0.00199395
12,-3.99496,0.000808983,-0.999355,15.9605,0.998725,254.788,0.997505,0.00139879
13,-3.99432,0.000933322,-0.99928,15.9555,0.998575,254.635,0.997212,0.00151784
14,-3.99458,0.000874974,-0.99931,15.9576,0.998636,254.698,0.99733,0.00146493
15,-3.99401,0.00100082,-0.999233,15.9531,0.998485,254.563,0.997039,0.00168707
16,-3.99443,0.000923033,-0.999288,15.9564,0.998592,254.664,0.997247,0.00155126
17,-3.99436,0.000928505,-0.999281,15.9558,0.998577,254.645,0.997218,0.0015388
18,-3.99432,0.0009348,-0.999276,15.9555,0.998569,254.635,0.997201,0.00154686
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.2,0,0.32,1.44,0.1024,2.0736,0.0104858,5.468
1,-3.2,0.4096,0.86,10.6496,0.754,130.191,0.611117,0.680689
2,-4,0,1,16,1,256,1,1.20446E-31
3,-3.9,0.0124,0.9875,15.2224,0.97535,232.462,0.952056,0.0280902
4,-3.97,0.0039,0.99625,15.7648,0.992575,248.769,0.985444,0.0075
5,-3.995,0.000775,0.999375,15.9608,0.998762,254.795,0.997574,0.00125
6,-3.96875,0.00612344,0.995625,15.7571,0.9914,248.652,0.983375,0.01125
7,-3.97,0.0059,0.996094,15.7668,0.992316,248.943,0.98512,0.00839191
8,-3.9725,0.00404375,0.996484,15.7848,0.993052,249.407,0.986425,0.00753689
9,-3.97828,0.0036908,0.997188,15.8304,0.994447,250.826,0.989173,0.00604547
10,-3.97516,0.00410779,0.996738,15.806,0.993563,250.078,0.98746,0.00785508
11,-3.97672,0.00437673,0.996982,15.8187,0.994051,250.492,0.988436,0.00650567
12,-3.97664,0.00408246,0.996982,15.8178,0.994047,250.448,0.988409,0.00684868
13,-3.97774,0.00376171,0.997085,15.8262,0.994248,250.697,0.988798,0.0069916
14,-3.97724,0.00396602,0.997031,15.8224,0.994144,250.588,0.988603,0.00698499
15,-3.97766,0.00375987,0.997099,15.8256,0.994274,250.676,0.988842,0.00662317
16,-3.97735,0.00380988,0.997062,15.8231,0.994201,250.602,0.988699,0.00665665
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-0.8,0,-0.34,0.64,0.1156,0.4096,0.0133634,1.70026
1,-2.8,0.2304,-0.68,8.0704,0.4724,72.3567,0.241658,3.16053
2,-3.76,0.032,-0.955,14.1696,0.9135,202.588,0.839804,0.291803
3,-3.98,0.0028,-0.9975,15.8432,0.99505,251.179,0.990296,0.005
4,-3.93,0.0095,-0.99125,15.4544,0.982725,239.41,0.966324,0.0215451
5,-3.95,0.0131,-0.993125,15.6156,0.986563,244.613,0.974311,0.0135676
6,-3.955,0.007975,-0.993125,15.65,0.986525,245.402,0.974095,0.0260676
7,-3.94187,0.00977148,-0.992188,15.5481,0.984631,242.329,0.970247,0.0208463
8,-3.965,0.005575,-0.995234,15.7268,0.990605,247.67,0.981735,0.0130197
9,-3.96125,0.00672344,-0.994883,15.6982,0.98992,246.836,0.98043,0.0120269
10,-3.96352,0.00623764,-0.995137,15.7157,0.99042,247.358,0.981403,0.0119545
11,-3.96313,0.00639023,-0.995107,15.7127,0.990363,247.275,0.981296,0.0121263
12,-3.96008,0.00664062,-0.994756,15.6889,0.989662,246.539,0.979904,0.0119648
13,-3.95869,0.00721391,-0.994514,15.6785,0.9892,246.246,0.979057,0.0135505
14,-3.96073,0.00663931,-0.994821,15.694,0.989794,246.702,0.980178,0.0124829
15,-3.96021,0.0069648,-0.994705,15.6902,0.989574,246.599,0.97978,0.0132341
16,-3.961,0.0067613,-0.994835,15.6963,0.989827,246.779,0.980258,0.0128022
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.36,0,0.3,1.8496,0.09,3.42102,0.0081,3.52636
1,-2.84,0.0144,0.58,8.08,0.362,65.751,0.165491,3.39289
2,-3.82,0.0524,0.975,14.6448,0.9517,217.367,0.90969,0.0461803
3,-3.96,0.0048,0.995,15.6864,0.9901,246.358,0.980592,0.01
4,-3.935,0.018575,0.99,15.5028,0.9806,241.422,0.963443,0.0492705
5,-3.9475,0.0102437,0.993125,15.593,0.986487,243.749,0.973885,0.0177951
6,-3.96125,0.00779844,0.995,15.6993,0.990163,246.932,0.980949,0.0102387
7,-3.91562,0.0147309,0.987656,15.3468,0.975841,236.396,0.953683,0.0446071
8,-3.94063,0.0108746,0.991953,15.5394,0.984205,242.116,0.969543,0.0228689
9,-3.93641,0.0111683,0.991602,15.5065,0.983484,241.112,0.968042,0.0222455
10,-3.93547,0.0122107,0.991211,15.5001,0.982764,240.972,0.966822,0.0244265
11,-3.93711,0.0108635,0.991572,15.5117,0.98343,241.255,0.967954,0.0212062
12,-3.93406,0.0113835,0.991167,15.4882,0.982642,240.559,0.966462,0.0229326
13,-3.938,0.0113237,0.991665,15.5192,0.983632,241.512,0.968413,0.0213012
14,-3.93554,0.0114734,0.991278,15.4999,0.982874,240.926,0.966955,0.0231261
15,-3.93707,0.0109633,0.991508,15.5115,0.983316,241.255,0.967775,0.0222013
16,-3.93591,0.0113064,0.991364,15.5027,0.983037,241.001,0.96725,0.0225217
17,-3.93565,0.0113739,0.991323,15.5007,0.982957,240.945,0.967097,0.0226097
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.52,0,-0.22,2.3104,0.0484,5.33795,0.00234256,4.2419
1,-2.64,0.0256,-0.51,6.9952,0.2602,49.6465,0.0678081,7.65659
2,-3.52,0.1632,-0.86,12.5536,0.759,165.737,0.630429,1.90116
3,-3.96,0.0048,-0.995,15.6864,0.9901,246.358,0.980592,0.01
4,-3.92,0.0096,-0.99,15.376,0.98025,237,0.961472,0.0159549
5,-3.875,0.025175,-0.98125,15.0408,0.96345,227.686,0.930487,0.062248
6,-3.91,0.0129,-0.987812,15.301,0.976019,234.886,0.953555,0.0317838
7,-3.89375,0.0193109,-0.985469,15.1806,0.971572,231.57,0.945538,0.03546
8,-3.89031,0.0243937,-0.984141,15.1589,0.969145,231.177,0.941493,0.0558678
9,-3.8975,0.0196438,-0.985859,15.2102,0.972366,232.483,0.947152,0.0382595
10,-3.90375,0.0163109,-0.986465,15.2556,0.973568,233.685,0.94948,0.0446871
11,-3.9066,0.0170549,-0.987266,15.2786,0.975064,234.426,0.952137,0.0341643
12,-3.90293,0.0177211,-0.986558,15.2506,0.973716,233.604,0.949668,0.0381649
13,-3.90257,0.0173719,-0.986553,15.2474,0.973684,233.492,0.949539,0.0388136
14,-3.90087,0.0177588,-0.986328,15.2346,0.973249,233.122,0.948724,0.0384594
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.04,0,-0.22,1.0816,0.0484,1.16986,0.00234256,0.415279
1,-2.24,0.0576,0.01,5.0752,0.017,26.9137,0.00029576,5.64053
2,-2.78,0.014,0.45,7.7424,0.2418,60.3857,0.0993838,9.46978
3,-3.82,0.0332,0.975,14.6256,0.9513,215.771,0.907478,0.0792705
4,-3.8,0.0456,0.96875,14.4856,0.939775,212.382,0.887909,0.130225
5,-3.8875,0.0179437,0.985625,15.1306,0.971762,229.982,0.945487,0.0217275
6,-3.8175,0.0248937,0.975625,14.5982,0.952313,214.523,0.908659,0.0538975
7,-3.86125,0.0223484,0.982031,14.9316,0.964778,224.238,0.932281,0.0419595
8,-3.855,0.024075,0.980234,14.8851,0.961386,222.94,0.926215,0.0511186
9,-3.84875,0.0275734,0.978672,14.8405,0.958459,221.8,0.921067,0.0646353
10,-3.85297,0.0282818,0.979336,14.8737,0.95982,222.811,0.923839,0.0627906
11,-3.85629,0.0270378,0.979678,14.898,0.960429,223.479,0.924838,0.0616683
12,-3.85428,0.0275133,0.979141,14.883,0.959445,223.051,0.923156,0.0666103
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.2,0,-0.36,1.44,0.1296,2.0736,0.0167962,4.2158
1,-2.12,0.0144,-0.54,4.5088,0.2916,20.5882,0.0850306,6.23633
2,-3.3,0.1964,-0.84,11.0864,0.7182,131.384,0.551841,2.07061
3,-3.9,0.0124,-0.9875,15.2224,0.97535,232.462,0.952056,0.035
4,-3.82,0.022,-0.97375,14.6144,0.948675,214.851,0.901819,0.0771353
5,-3.8325,0.0377437,-0.97625,14.7258,0.953875,218.961,0.912877,0.0519529
6,-3.85375,0.0295109,-0.978437,14.8809,0.958219,223.105,0.92135,0.0689191
7,-3.75312,0.0501027,-0.964687,14.1361,0.93185,202.504,0.872718,0.116009
8,-3.81156,0.0363663,-0.972891,14.5644,0.947452,214.134,0.901041,0.0832733
9,-3.80672,0.0362049,-0.972031,14.5273,0.945864,213.019,0.898243,0.0908575
10,-3.79172,0.0418689,-0.969375,14.419,0.940884,210.166,0.889448,0.109569
11,-3.80031,0.0391562,-0.970488,14.4815,0.942959,211.862,0.893125,0.104949
12,-3.79162,0.0405329,-0.969019,14.4169,0.94027,210.05,0.888501,0.117379
13,-3.79433,0.0393491,-0.969844,14.4363,0.941738,210.553,0.890884,0.101794
14,-3.79567,0.0385125,-0.970131,14.4456,0.942253,210.784,0.891716,0.10222
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-0.64,0,0.1,0.4096,0.01,0.167772,0.0001,1.34249
1,-1.72,0.0144,0.23,2.9728,0.065,9.00794,0.00678536,1.19597
2,-2.2,0.1424,0.26,4.9824,0.0912,27.9234,0.0191309,2.06464
3,-3.43,0.0791,0.8875,11.844,0.79355,144.23,0.647041,0.673607
4,-3.755,0.017975,0.96625,14.118,0.934075,200.307,0.87409,0.0872746
5,-3.7575,0.0265937,0.963125,14.1454,0.928713,201.572,0.866362,0.10368
6,-3.64875,0.0775234,0.9375,13.3909,0.883238,183.227,0.793474,0.392402
7,-3.75,0.0573,0.960469,14.1198,0.924528,202.38,0.861704,0.178131
8,-3.72437,0.0674809,0.956875,13.9385,0.918613,197.589,0.852657,0.171305
9,-3.73687,0.0538902,0.959727,14.0181,0.922923,199.365,0.858012,0.149536
10,-3.71867,0.0532982,0.957754,13.8818,0.919025,195.5,0.850483,0.158148
11,-3.70996,0.0590492,0.95458,13.8229,0.913449,194.125,0.841697,0.19439
12,-3.71527,0.0557527,0.956938,13.859,0.917555,194.981,0.84804,0.160968
13,-3.71609,0.0565754,0.956545,13.8659,0.917072,195.213,0.847728,0.172415
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-2,0,0.22,4,0.0484,16,0.00234256,15.3285
1,-2.44,0.0016,0.2,5.9552,0.04,35.5025,0.0016,21.3347
2,-2.32,0.0096,0.055,5.392,0.0079,29.2733,0.00012172,22.6129
3,-3.24,0.3968,0.7,10.8944,0.5831,135.163,0.494561,7.5199
4,-3.505,0.071375,0.93,12.3564,0.86655,156.197,0.756603,0.122865
5,-3.6475,0.0803437,0.948125,13.3846,0.901038,183.193,0.818968,0.133793
6,-3.6025,0.0747937,0.936562,13.0528,0.879944,174.077,0.783502,0.311079
7,-3.6375,0.0688938,0.945,13.3003,0.895719,180.393,0.810696,0.231527
8,-3.68438,0.0621809,0.951094,13.6368,0.906809,189.117,0.829697,0.179879
9,-3.63672,0.0707392,0.941758,13.2965,0.890341,180.339,0.802947,0.254961
10,-3.61578,0.083901,0.936738,13.1578,0.881618,177.216,0.789584,0.312099
11,-3.62078,0.0900806,-0.429014,13.2001,0.882918,178.498,0.794229,0.391737
12,-3.62631,0.077025,-0.941162,13.2271,0.888764,178.758,0.799312,0.244955
,,,,,,,,
window , <energy> , EnergyVar , <mag> , <energy^2> , <mag^2> , <energy^4> , <mag^4> , <chi(k)>
0,-1.04,0,0.24,1.0816,0.0576,1.16986,0.00331776,0.950557
1,-2.12,0.1296,0.47,4.624,0.2258,23.7113,0.0553153,0.472786
2,-2.62,0.1196,0.595,6.984,0.3753,52.0877,0.171154,4.85989
